Series_Title,Released_Year,Genre,Runtime,IMDB_Rating,Overview,Country,Release_Date,Localized_Title,Censorship_Rating
The Hurricane,1999,"Biography, Drama, Sport",146 min,7.6,"The story of Rubin 'Hurricane' Carter, a boxer wrongly imprisoned for murder, and the people who aided in his fight to prove his innocence.",Comoros,2005-09-24,,
Knockin' on Heaven's Door,1997,"Action, Crime, Comedy",87 min,8.0,"Two terminally ill patients escape from a hospital, steal a car and rush towards the sea.",,2020-08-11,Function-based 24/7 interface,Unrated
1917,2019,"Drama, Thriller, War",119 min,8.3,"April 6th, 1917. As a regiment assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap.",Zimbabwe,2004-07-27,Monitored radical project,Unrated
Nefes: Vatan Sagolsun,2009,"Action, Drama, Thriller",128 min,8.0,Story of 40-man Turkish task force who must defend a relay station.,,2013-04-29,Grass-roots methodical encoding,Unrated
Harry Potter and the Prisoner of Azkaban,2004,"Adventure, Family, Fantasy",142 min,7.9,"Harry Potter, Ron and Hermione return to Hogwarts School of Witchcraft and Wizardry for their third year of study, where they delve into the mystery surrounding an escaped prisoner who poses a dangerous threat to the young wizard.",South Georgia and the South Sandwich Islands,2001-12-05,,G
Män som hatar kvinnor,2009,"Crime, Drama, Mystery",152 min,7.8,A journalist is aided by a young female hacker in his search for the killer of a woman who has been dead for forty years.,Japan,2011-07-15,,PG-13
Enter the Dragon,1973,"Action, Crime, Drama",102 min,7.7,A secret agent comes to an opium lord's island fortress with other fighters for a martial-arts tournament.,Senegal,2021-02-14,Ameliorated composite forecast,PG
Munna Bhai M.B.B.S.,2003,"Comedy, Drama, Musical",156 min,8.1,A gangster sets out to fulfill his father's dream of becoming a doctor.,Australia,1999-05-24,,NC-17
L'avventura,1960,"Drama, Mystery",144 min,7.9,"A woman disappears during a Mediterranean boating trip. During the search, her lover and her best friend become attracted to each other.",Sao Tome and Principe,2020-08-02,Versatile radical open system,G
Todo sobre mi madre,1999,Drama,101 min,7.8,"Young Esteban wants to become a writer and also to discover the identity of his second mother, a trans woman, carefully concealed by his mother Manuela.",Hungary,2023-09-29,Organic client-server capability,NC-17
A Streetcar Named Desire,1951,Drama,122 min,8.0,Disturbed Blanche DuBois moves in with her sister in New Orleans and is tormented by her brutish brother-in-law while her reality crumbles around her.,Bahrain,2021-02-21,Mandatory asymmetric installation,R
Nelyubov,2017,Drama,127 min,7.6,A couple going through a divorce must team up to find their son who has disappeared during one of their bitter arguments.,,1997-12-28,Horizontal dynamic task-force,R
Guess Who's Coming to Dinner,1967,"Comedy, Drama",108 min,7.8,A couple's attitudes are challenged when their daughter introduces them to her African-American fiancé.,Spain,2017-06-30,,G
Reservoir Dogs,1992,"Crime, Drama, Thriller",99 min,8.3,"When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant.",Rwanda,1996-05-22,,PG-13
The Lion in Winter,1968,"Biography, Drama, History",134 min,7.9,"1183 A.D.: King Henry II's three sons all want to inherit the throne, but he won't commit to a choice. They and his wife variously plot to force him.",Western Sahara,2018-12-13,,NC-17
Pan's Labyrinth,2006,"Drama, Fantasy, War",118 min,8.2,"In the Falangist Spain of 1944, the bookish young stepdaughter of a sadistic army officer escapes into an eerie but captivating fantasy world.",Brazil,2014-09-24,,PG
Goldfinger,1964,"Action, Adventure, Thriller",110 min,7.7,"While investigating a gold magnate's smuggling, James Bond uncovers a plot to contaminate the Fort Knox gold reserve.",Jamaica,2020-10-14,Networked well-modulated service-desk,PG-13
A Christmas Story,1983,"Comedy, Family",93 min,,"In the 1940s, a young boy named Ralphie attempts to convince his parents, his teacher and Santa that a Red Ryder BB gun really is the perfect Christmas gift.",Equatorial Guinea,2013-11-19,,NC-17
Chinatown,1974,"Drama, Mystery, Thriller",130 min,8.1,"A private detective hired to expose an adulterer finds himself caught up in a web of deceit, corruption, and murder.",United States Minor Outlying Islands,2013-05-25,,NC-17
Some Like It Hot,1959,"Comedy, Music, Romance",121 min,8.2,"After two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in.",Colombia,1996-05-14,,PG-13
Manbiki kazoku,2018,"Crime, Drama",121 min,7.9,,Sri Lanka,2009-06-29,Distributed context-sensitive collaboration,NC-17
Chak De! India,2007,,,8.2,Kabir Khan is the coach of the Indian Women's National Hockey Team and his dream is to make his all girls team emerge victorious against all odds.,Heard Island and McDonald Islands,2023-09-07,,R
Dancer in the Dark,2000,"Crime, Drama, Musical",140 min,8.0,"An East European girl travels to the United States with her young son, expecting it to be like a Hollywood film.",Bosnia and Herzegovina,1998-01-24,,R
Nosferatu,1922,"Fantasy, Horror",94 min,7.9,Vampire Count Orlok expresses interest in a new residence and real estate agent Hutter's wife.,Kenya,2009-11-04,Organic radical extranet,PG-13
Toy Story 2,1999,"Animation, Adventure, Comedy",92 min,7.9,"When Woody is stolen by a toy collector, Buzz and his friends set out on a rescue mission to save Woody before he becomes a museum toy property with his roundup gang Jessie, Prospector, and Bullseye.",Portugal,2008-06-20,,G
"O Brother, Where Art Thou?",2000,"Adventure, Comedy, Crime",,7.7,,Mali,2008-09-25,Team-oriented didactic matrix,G
Match Point,2005,"Drama, Romance, Thriller",124 min,7.6,"At a turning point in his life, a former tennis pro falls for an actress who happens to be dating his friend and soon-to-be brother-in-law.",Saudi Arabia,2015-11-17,Multi-layered discrete interface,PG
The Exorcist,1973,Horror,122 min,8.0,"When a 12-year-old girl is possessed by a mysterious entity, her mother seeks the help of two priests to save her.",Falkland Islands (Malvinas),2004-08-12,,NC-17
Gattaca,1997,"Drama, Sci-Fi, Thriller",106 min,7.8,A genetically inferior man assumes the identity of a superior one in order to pursue his lifelong dream of space travel.,Gambia,2017-03-23,,NC-17
Knockin' on Heaven's Door,1997,"Action, Crime, Comedy",87 min,8.0,"Two terminally ill patients escape from a hospital, steal a car and rush towards the sea.",Denmark,2024-04-07,,G
Birdman or (The Unexpected Virtue of Ignorance),2014,,,7.7,"A washed-up superhero actor attempts to revive his fading career by writing, directing, and starring in a Broadway production.",Portugal,2015-01-07,,PG
Majo no takkyûbin,1989,"Animation, Adventure, Drama",103 min,7.8,"A young witch, on her mandatory year of independent life, finds fitting into a new community difficult while she supports herself by running an air courier service.",Nepal,2002-09-28,,PG-13
Bringing Up Baby,1938,"Comedy, Family, Romance",102 min,,"While trying to secure a $1 million donation for his museum, a befuddled paleontologist is pursued by a flighty and often irritating heiress and her pet leopard, Baby.",Nigeria,2012-11-03,,PG-13
What We Do in the Shadows,2014,"Comedy, Horror",86 min,,"Viago, Deacon and Vladislav are vampires who are finding that modern life has them struggling with the mundane - like paying rent, keeping up with the chore wheel, trying to get into nightclubs and overcoming flatmate conflicts.",Albania,2009-04-29,,Unrated
All Quiet on the Western Front,1930,,152 min,8.0,"A German youth eagerly enters World War I, but his enthusiasm wanes as he gets a firsthand view of the horror.",Bouvet Island (Bouvetoya),1997-11-15,,NC-17
Despicable Me,2010,"Animation, Comedy, Crime",95 min,7.6,"When a criminal mastermind uses a trio of orphan girls as pawns for a grand scheme, he finds their love is profoundly changing him for the better.",Cuba,2022-04-12,,PG
Aladdin,1992,"Animation, Adventure, Comedy",90 min,8.0,A kindhearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.,,1997-11-17,,G
The Shawshank Redemption,1994,Drama,142 min,9.3,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.",Taiwan,2024-04-04,Reduced modular complexity,R
Baby Driver,2017,"Action, Crime, Drama",113 min,,"After being coerced into working for a crime boss, a young getaway driver finds himself taking part in a heist doomed to fail.",Armenia,1996-02-19,,G
The Fighter,2010,"Biography, Drama, Sport",116 min,7.8,"Based on the story of Micky Ward, a fledgling boxer who tries to escape the shadow of his more famous but troubled older boxing brother and get his own shot at greatness.",Denmark,2015-06-08,Front-line eco-centric strategy,Unrated
The Truman Show,1998,"Comedy, Drama",103 min,8.1,An insurance salesman discovers his whole life is actually a reality TV show.,Gabon,2004-08-03,,PG-13
The Breakfast Club,1985,"Comedy, Drama",97 min,7.8,Five high school students meet in Saturday detention and discover how they have a lot more in common than they thought.,Turkmenistan,2024-05-03,,PG
My Name Is Khan,2010,Drama,165 min,8.0,An Indian Muslim man with Asperger's syndrome takes a challenge to speak to the President of the United States seriously and embarks on a cross-country journey.,Jordan,2007-12-12,,PG
The Shop Around the Corner,1940,"Comedy, Drama, Romance",99 min,8.1,,Luxembourg,2019-03-27,Self-enabling full-range productivity,PG
Giant,1956,"Drama, Western",201 min,7.6,Sprawling epic covering the life of a Texas cattle rancher and his family and associates.,Estonia,2021-01-14,,PG-13
Mou gaan dou,2002,"Action, Crime, Drama",101 min,8.0,"A story between a mole in the police department and an undercover cop. Their objectives are the same: to find out who is the mole, and who is the cop.",Guyana,2008-11-09,,NC-17
The Station Agent,2003,"Comedy, Drama",89 min,7.6,"When his only friend dies, a man born with dwarfism moves to rural New Jersey to live a life of solitude, only to meet a chatty hot dog vendor and a woman dealing with her own personal loss.",Bhutan,2016-05-08,,NC-17
Relatos salvajes,2014,"Comedy, Drama, Thriller",122 min,8.1,Six short stories that explore the extremities of human behavior involving people in distress.,Chile,1995-11-19,,R
Straight Outta Compton,2015,"Biography, Drama, History",147 min,7.8,"The rap group NWA emerges from the mean streets of Compton in Los Angeles, California, in the mid-1980s and revolutionizes Hip Hop culture with their music and tales about life in the hood.",Christmas Island,2008-07-24,Decentralized fault-tolerant circuit,R
Thor: Ragnarok,2017,"Action, Adventure, Comedy",130 min,7.9,"Imprisoned on the planet Sakaar, Thor must race against time to return to Asgard and stop Ragnarök, the destruction of his world, at the hands of the powerful and ruthless villain Hela.",,2023-08-21,Vision-oriented actuating challenge,NC-17
Jaws,1975,"Adventure, Thriller",124 min,8.0,"When a killer shark unleashes chaos on a beach community, it's up to a local sheriff, a marine biologist, and an old seafarer to hunt the beast down.",Romania,2024-03-07,,G
A Clockwork Orange,1971,"Crime, Drama, Sci-Fi",,8.3,"In the future, a sadistic gang leader is imprisoned and volunteers for a conduct-aversion experiment, but it doesn't go as planned.",Brunei Darussalam,2006-06-09,,PG
One Flew Over the Cuckoo's Nest,1975,Drama,133 min,8.7,"A criminal pleads insanity and is admitted to a mental institution, where he rebels against the oppressive nurse and rallies up the scared patients.",Djibouti,2010-02-24,,
Dil Bechara,2020,"Comedy, Drama, Romance",101 min,7.9,"The emotional journey of two hopelessly in love youngsters, a young girl, Kizie, suffering from cancer, and a boy, Manny, whom she meets at a support group.",Papua New Guinea,,,PG-13
Mary Poppins,1964,"Comedy, Family, Fantasy",139 min,7.8,"In turn of the century London, a magical nanny employs music and adventure to help two neglected children become closer to their father.",Romania,2025-03-10,,PG-13
Sholay,1975,"Action, Adventure, Comedy",204 min,8.2,"After his family is murdered by a notorious and ruthless bandit, a former police officer enlists the services of two outlaws to capture the bandit.",Qatar,1998-09-02,,PG
Mulan,1998,"Animation, Adventure, Family",88 min,7.6,"To save her father from death in the army, a young maiden secretly goes in his place and becomes one of China's greatest heroines in the process.",Russian Federation,2013-10-04,Enhanced attitude-oriented project,Unrated
Apocalypto,2006,"Action, Adventure, Drama",139 min,7.8,"As the Mayan kingdom faces its decline, a young man is taken on a perilous journey to a world ruled by fear and oppression.",Grenada,2014-12-05,,G
Glory,1989,"Biography, Drama, History",122 min,7.8,"Robert Gould Shaw leads the U.S. Civil War's first all-black volunteer company, fighting prejudices from both his own Union Army, and the Confederates.",United Arab Emirates,2023-09-18,Ameliorated transitional frame,R
Boogie Nights,1997,,155 min,7.9,"Back when sex was safe, pleasure was a business and business was booming, an idealistic porn producer aspires to elevate his craft to an art when he discovers a hot young talent.",Tokelau,1996-01-06,,PG-13
Star Wars: Episode V - The Empire Strikes Back,1980,"Action, Adventure, Fantasy",124 min,8.7,"After the Rebels are brutally overpowered by the Empire on the ice planet Hoth, Luke Skywalker begins Jedi training with Yoda, while his friends are pursued by Darth Vader and a bounty hunter named Boba Fett all over the galaxy.",Algeria,2024-09-14,,
The Theory of Everything,2014,"Biography, Drama, Romance",123 min,7.7,A look at the relationship between the famous physicist Stephen Hawking and his wife.,Faroe Islands,2011-12-14,,
True Romance,1993,"Crime, Drama, Romance",119 min,7.9,"In Detroit, a lonely pop culture geek marries a call girl, steals cocaine from her pimp, and tries to sell it in Hollywood. Meanwhile, the owners of the cocaine, the Mob, track them down in an attempt to reclaim it.",Cuba,2023-03-08,,NC-17
The Big Lebowski,1998,"Comedy, Crime, Sport",117 min,8.1,"Jeff ""The Dude"" Lebowski, mistaken for a millionaire of the same name, seeks restitution for his ruined rug and enlists his bowling buddies to help get it.",Armenia,2013-08-13,Cross-group transitional definition,NC-17
Jojo Rabbit,2019,"Comedy, Drama, War",108 min,7.9,A young boy in Hitler's army finds out his mother is hiding a Jewish girl in their home.,Panama,2024-10-24,,G
Life of Pi,2012,"Adventure, Drama, Fantasy",127 min,7.9,"A young man who survives a disaster at sea is hurtled into an epic journey of adventure and discovery. While cast away, he forms an unexpected connection with another survivor: a fearsome Bengal tiger.",Sri Lanka,2019-07-26,,PG
Lage Raho Munna Bhai,2006,"Comedy, Drama, Romance",144 min,8.1,Munna Bhai embarks on a journey with Mahatma Gandhi in order to fight against a corrupt property dealer.,,2010-07-30,,PG-13
Chhichhore,2019,"Comedy, Drama",143 min,8.2,"A tragic incident forces Anirudh, a middle-aged man, to take a trip down memory lane and reminisce his college days along with his friends, who were labelled as losers.",Isle of Man,2000-07-29,,R
Mary Poppins,1964,"Comedy, Family, Fantasy",139 min,7.8,"In turn of the century London, a magical nanny employs music and adventure to help two neglected children become closer to their father.",United Kingdom,2016-04-10,,
Night on Earth,1991,"Comedy, Drama",129 min,7.8,An anthology of 5 different cab drivers in 5 American and European cities and their remarkable fares on the same eventful night.,Saint Kitts and Nevis,2016-11-15,,PG
The Last King of Scotland,2006,"Biography, Drama, History",123 min,7.7,Based on the events of the brutal Ugandan dictator Idi Amin's regime as seen by his personal physician during the 1970s.,,2018-06-04,Intuitive responsive hardware,PG
As Good as It Gets,1997,"Comedy, Drama, Romance",139 min,7.7,"A single mother and waitress, a misanthropic author, and a gay artist form an unlikely friendship after the artist is assaulted in a robbery.",Niue,1999-10-18,Streamlined asymmetric model,R
Trois couleurs: Blanc,1994,"Comedy, Drama, Romance",92 min,7.6,"After his wife divorces him, a Polish immigrant plots to get even with her.",Guinea,2022-11-06,,PG
Vicky Donor,2012,,126 min,7.8,"A man is brought in by an infertility doctor to supply him with his sperm, where he becomes the biggest sperm donor for his clinic.",Rwanda,2004-07-29,,NC-17
Ajeossi,2010,"Action, Crime, Drama",119 min,7.8,A quiet pawnshop keeper with a violent past takes on a drug-and-organ trafficking ring in hope of saving the child who is his only friend.,Burkina Faso,2014-04-14,,NC-17
On the Waterfront,1954,"Crime, Drama, Thriller",108 min,8.1,An ex-prize fighter turned longshoreman struggles to stand up to his corrupt union bosses.,Eritrea,2000-05-18,,Unrated
Gake no ue no Ponyo,2008,"Animation, Adventure, Comedy",101 min,,"A five-year-old boy develops a relationship with Ponyo, a young goldfish princess who longs to become a human after falling in love with him.",El Salvador,2008-09-09,,PG-13
Good Bye Lenin!,2003,"Comedy, Drama, Romance",121 min,7.7,"In 1990, to protect his fragile mother from a fatal shock after a long coma, a young man must keep her from learning that her beloved nation of East Germany as she knew it has disappeared.",,2021-07-05,Organic uniform flexibility,R
Guardians of the Galaxy Vol. 2,2017,"Action, Adventure, Comedy",136 min,7.6,"The Guardians struggle to keep together as a team while dealing with their personal family issues, notably Star-Lord's encounter with his father the ambitious celestial being Ego.",Trinidad and Tobago,2004-06-10,,PG
Zerkalo,1975,"Biography, Drama",107 min,8.1,"A dying man in his forties remembers his past. His childhood, his mother, the war, personal moments and things that tell of the recent history of all the Russian nation.",Tonga,2005-02-23,,PG-13
The Longest Day,1962,"Action, Drama, History",178 min,7.8,"The events of D-Day, told on a grand scale from both the Allied and German points of view.",Belarus,2012-12-27,User-centric 6thgeneration protocol,G
Enter the Dragon,1973,"Action, Crime, Drama",102 min,7.7,A secret agent comes to an opium lord's island fortress with other fighters for a martial-arts tournament.,Antigua and Barbuda,2012-05-01,Cross-platform tertiary open system,Unrated
La dolce vita,1960,"Comedy, Drama",174 min,8.0,A series of stories following a week in the life of a philandering paparazzo journalist living in Rome.,South Africa,2018-07-06,,PG
The Philadelphia Story,1940,"Comedy, Romance",112 min,7.9,"When a rich woman's ex-husband and a tabloid-type reporter turn up just before her planned remarriage, she begins to learn the truth about herself.",,1996-03-03,,PG-13
Sleepers,1996,"Crime, Drama, Thriller",147 min,,"After a prank goes disastrously wrong, a group of boys are sent to a detention center where they are brutalized. Thirteen years later, an unexpected random encounter with a former guard gives them a chance for revenge.",Libyan Arab Jamahiriya,2019-02-25,,Unrated
M - Eine Stadt sucht einen Mörder,1931,"Crime, Mystery, Thriller",117 min,8.3,"When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt.",French Guiana,2020-05-13,,PG-13
Wo hu cang long,2000,"Action, Adventure, Fantasy",120 min,,A young Chinese warrior steals a sword from a famed swordsman and then escapes into a world of romantic adventure with a mysterious man in the frontier of the nation.,Gibraltar,2016-11-07,,PG
The Man from Earth,2007,"Drama, Fantasy, Mystery",87 min,7.9,An impromptu goodbye party for Professor John Oldman becomes a mysterious interrogation after the retiring scholar reveals to his colleagues he has a longer and stranger past than they can imagine.,Guatemala,2023-10-12,,R
Dangal,2016,"Action, Biography, Drama",161 min,8.4,Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.,Taiwan,2022-06-17,,PG
Celda 211,2009,"Action, Adventure, Crime",113 min,,"The story of two men on different sides of a prison riot -- the inmate leading the rebellion and the young guard trapped in the revolt, who poses as a prisoner in a desperate attempt to survive the ordeal.",Holy See (Vatican City State),2000-11-22,,Unrated
After Hours,1985,"Comedy, Crime, Drama",97 min,,,,2018-09-03,,G
Batman: Mask of the Phantasm,1993,"Animation, Action, Crime",,,Batman is wrongly implicated in a series of murders of mob bosses actually done by a new vigilante assassin.,Guinea-Bissau,2013-10-28,,Unrated
Fight Club,1999,Drama,139 min,8.8,"An insomniac office worker and a devil-may-care soapmaker form an underground fight club that evolves into something much, much more.",Grenada,2002-04-27,,PG-13
Monty Python and the Holy Grail,1975,"Adventure, Comedy, Fantasy",91 min,,"King Arthur and his Knights of the Round Table embark on a surreal, low-budget search for the Holy Grail, encountering many, very silly obstacles.",Armenia,2022-07-29,Grass-roots tertiary implementation,PG
A Christmas Story,1983,,93 min,7.9,"In the 1940s, a young boy named Ralphie attempts to convince his parents, his teacher and Santa that a Red Ryder BB gun really is the perfect Christmas gift.",Latvia,1995-12-11,,PG
Festen,1998,Drama,105 min,8.0,"At Helge's 60th birthday party, some unpleasant family truths are revealed.",Central African Republic,2001-11-04,,PG
The Prestige,2006,"Drama, Mystery, Sci-Fi",130 min,8.5,"After a tragic accident, two stage magicians engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other.",Costa Rica,2000-12-10,,NC-17
Night of the Living Dead,1968,"Horror, Thriller",96 min,7.9,A ragtag group of Pennsylvanians barricade themselves in an old farmhouse to remain safe from a horde of flesh-eating ghouls that are ravaging the East Coast of the United States.,Nepal,2001-02-21,,NC-17
A Streetcar Named Desire,1951,Drama,122 min,8.0,Disturbed Blanche DuBois moves in with her sister in New Orleans and is tormented by her brutish brother-in-law while her reality crumbles around her.,Mexico,2007-03-25,,R
Donnie Brasco,1997,"Biography, Crime, Drama",127 min,7.7,"An FBI undercover agent infiltrates the mob and finds himself identifying more with the mafia life, at the expense of his regular one.",Mauritius,2014-12-12,,PG-13
Shichinin no samurai,1954,"Action, Adventure, Drama",207 min,8.6,A poor village under attack by bandits recruits seven unemployed samurai to help them defend themselves.,Colombia,2018-09-17,,PG-13
Stand by Me,1986,"Adventure, Drama",89 min,8.1,,Anguilla,2001-10-15,,Unrated
